Index,A1,A2,A3,A4,B1,B2,B3,B4
MEDN005,1430000,1560000,1420000,1410000,2500000,2420000,2250000,2420000
MEDN011,998000,1190000,1220000,1440000,2160000,2190000,2230000,2300000
MEDN015,10700000,13400000,12100000,13400000,22000000,20500000,17500000,20900000
MEDN016,44600,39800,52200,59800,41200,42000,43500,45000
MEDN018,429000,474000,441000,453000,407000,421000,451000,388000
MEDN027,66500,65200,69600,72800,59500,52700,39100,54700
MEDN032,752000,885000,811000,871000,767000,751000,721000,753000
MEDN033,174000,236000,202000,230000,211000,171000,91200,122000
MEDN036,30600,27400,26000,21500,14400,11800,6480,9840
MEDN040,40500,22400,31700,22900,22700,19000,11400,19200
MEDN042,326000,300000,306000,285000,486000,466000,426000,478000
MEDN043,7360,7590,7260,7160,7860,7470,6700,10600
MEDN045,291000,321000,273000,256000,240000,232000,217000,226000
MEDN046,1970000,2010000,2040000,2100000,2280000,2170000,1950000,2150000
MEDN049,39500,69600,52100,64700,46700,37300,18700,41300
MEDN052,71700,78100,71000,70300,85700,77600,61300,78500
MEDN055,23500,74800,52100,80700,132000,118000,90100,116000
MEDN056,57300,52600,57500,57700,102000,99200,93600,92100
MEDN057,11600,12600,12200,12900,34700,31700,25800,34300
MEDN059,383000,366000,396000,410000,515000,440000,289000,419000
MEDN061,445000,375000,386000,327000,475000,455000,415000,444000
MEDN065,39300,60900,44700,50100,73400,74700,77300,79900
MEDN068,283000,370000,330000,376000,944000,920000,874000,928000
MEDN072,377000,462000,425000,474000,774000,709000,579000,708000
MEDN074,38000,28500,37200,36400,27800,26000,22600,29000
MEDN084,819000,849000,1420000,2010000,895000,890000,881000,828000
MEDN091,9,9,9,9,8610,8280,7630,8840
MEDN092,21700,31300,25100,28500,123000,119000,111000,132000
MEDN111,32200,33900,28600,25000,29900,27600,23100,31000
MEDN113,27300,23300,26000,24800,35400,32000,25400,39600
MEDN114,29900,41700,33100,36300,43000,50300,64900,42000
MEDN115,36100,45600,35100,34100,45100,51000,62900,45500
MEDN120,65600,68800,61900,58100,62000,63400,66200,55200
MEDN140,11600000,15200000,13300000,15100000,51600000,49100000,44100000,52600000
MEDN146,73400,83600,52600,31800,60200,62900,68200,41800
MEDN147,6610,5470,7860,9100,16400,17800,20600,21000
MEDN149,25400,38100,31800,38100,91900,94100,98600,63800
MEDN153,615000,233000,515000,415000,344000,384000,465000,9
MEDN156,16200,8690,21200,26200,32000,27500,18600,31800
MEDN158,15700,8020,16700,17800,6270,7320,9420,6450
MEDN160,895000,726000,898000,902000,739000,722000,687000,654000
MEDN162,250000,497000,370000,490000,849000,863000,891000,824000
MEDN164,33600000,33700000,37900000,42300000,86800000,88800000,92800000,84000000
MEDN165,9,44500,29100,58100,59100,69200,89500,9
MEDN166,25200,37100,22800,20300,123000,111000,86100,120000
MEDN170,4570,3120,6260,7950,43100,37600,26800,41200
MEDN173,98100,91600,95700,93300,152000,139000,113000,144000
MEDN196,2670000,3430000,3500000,4330000,4700000,4610000,4440000,4560000
MEDN199,175000,215000,204000,232000,1140000,1250000,1460000,1010000
MEDN200,169000,276000,189000,209000,1080000,1110000,1180000,1040000
MEDN201,622000,571000,566000,510000,1120000,1060000,945000,1060000
MEDN206,41000,37400,41300,41500,85300,76400,58600,57800
MEDN211,28300,18700,28000,27600,27600,30300,35800,28500
MEDN214,52600,59000,50600,48700,40300,46100,57600,39400
MEDN216,17600,15900,21000,24300,21100,22300,24800,21300
MEDN218,415000,450000,412000,408000,970000,995000,1050000,993000
MEDN221,425000,438000,438000,452000,934000,924000,904000,934000
MEDN222,18700,25900,22800,26900,10300,13000,18600,13200
MEDN223,717000,987000,797000,878000,795000,916000,1160000,808000
MEDN224,888000,1020000,961000,1030000,822000,906000,1070000,863000
MEDN226,3460000,3610000,3500000,3530000,3030000,3090000,3200000,3040000
MEDN227,1160000,2330000,1510000,1860000,9040000,9290000,9800000,10100000
MEDN228,37400,32900,29400,21500,23600,25700,29900,30900
MEDN236,311000,343000,298000,284000,221000,235000,264000,239000
MEDN237,12800,15200,12700,12700,48000,38500,19600,41400
MEDN240,15500,20300,17000,18400,35100,35700,36800,32900
MEDN241,43300,40800,44700,46100,56500,56200,55500,55600
MEDN244,10700,17000,14300,17800,44800,37500,22900,30800
MEDN245,2770000,3930000,3390000,4000000,47700000,46300000,43700000,44600000
MEDN260,15700,15300,16500,17300,15600,16100,17000,16300
MEDN262,15200,23700,14600,14000,21700,24400,29700,22900
MEDN279,158000,151000,152000,147000,105000,106000,107000,110000
MEDN280,1380000,1340000,1490000,1600000,5770000,5510000,4990000,5340000
MEDN290,113000,143000,120000,128000,1360000,1300000,1180000,1280000
MEDN300,3810000,4280000,3820000,3830000,4090000,4130000,4190000,4000000
MEDN304,108000,133000,112000,116000,211000,194000,160000,201000
MEDN305,412000,380000,405000,397000,1220000,1160000,1050000,1160000
MEDN309,29300,51300,47100,64900,179000,188000,206000,208000
MEDN316,9220,12600,10200,11200,21400,21400,21300,20100
MEDN321,9,9,9,9,58900,63400,72400,64100
MEDN322,5860,10100,7090,8320,15900,16700,18300,16800
MEDN324,9,9,9,9,12900,12400,11300,13800
MEDN325,42000,45300,47700,53400,148000,148000,149000,171000
MEDN335,2020000,2370000,2210000,2400000,9860000,9020000,7330000,10300000
MEDN338,4230,4130,4210,4200,7170,6900,6360,6340
MEDN349,157000,247000,192000,228000,700000,685000,655000,689000
MEDN351,15500,24600,20900,26300,48900,49600,50900,55100
MEDN352,1940000,1940000,2080000,2230000,8350000,8120000,7670000,8260000
MEDN360,16300,18200,17900,19500,36000,35200,33800,34100
MEDN362,3520000,3480000,3600000,3680000,4840000,6400000,9510000,5830000
MEDN364,234000,256000,255000,277000,424000,479000,590000,448000
MEDN366,508000,525000,524000,541000,303000,354000,456000,345000
MEDN368,18000,18100,17900,17800,13300,15000,18500,13700
MEDN370,37800,38800,29700,21500,71400,69600,66000,63200
MEDN372,21000,19600,19800,18700,11500,11500,11400,11200
MEDN376,22400,21400,23400,24400,22700,22700,22800,22700
MEDN379,5270,4870,4850,4440,7670,7280,6500,7160
MEDN380,5570000,6280000,6090000,6610000,12500000,12400000,12400000,11900000
MEDN381,38300000,41000000,39300000,40400000,43700000,43900000,44400000,45000000
MEDN383,3790000,3970000,4050000,4300000,6490000,6210000,5670000,6490000
MEDN385,261000,254000,275000,289000,342000,346000,355000,341000
MEDN388,102000,105000,103000,104000,108000,108000,108000,103000
MEDN390,753000,887000,985000,1220000,3140000,2900000,2430000,2850000
MEDN391,40900,46900,47900,54900,125000,123000,119000,114000
MEDN394,25200,27300,25400,25600,29700,29700,29600,30600
MEDN395,69300,92900,69400,69400,97600,104000,116000,110000
MEDN404,12600,22200,13500,14500,20100,19000,16700,18900
MEDN409,36800,35200,36300,35900,33400,34300,36100,31200
MEDN411,60600,55500,58200,55900,74800,72400,67600,68800
MEDN421,34800,53800,47300,59800,30700,20500,9,26700
MEDN425,23400000,23900000,23500000,23700000,18900000,19400000,20500000,19400000
MEDN434,57800,72000,69600,81400,126000,115000,92800,119000
MEDN444,33900000,33300000,37500000,41200000,87300000,88600000,91300000,82100000
MEDN452,136000,145000,166000,196000,411000,378000,312000,359000
MEDN461,8830,11100,8560,8290,13500,14100,15100,14800
MEDN462,439000,443000,435000,432000,1050000,1030000,1000000,1070000
MEDN463,263000,568000,420000,576000,3790000,3950000,4280000,4130000
MEDN466,106000,139000,128000,151000,117000,116000,113000,112000
MEDN470,435000,438000,439000,443000,418000,425000,438000,445000
MEDN478,74200,94800,73800,73400,268000,255000,228000,218000
MEDN480,1510000,1560000,1590000,1670000,1810000,3000000,5390000,2280000
MEDN485,98700,84600,125000,152000,200000,252000,355000,229000
MEDN486,4550000,4930000,4580000,4620000,4430000,4610000,4970000,5510000
MEDN491,3180,3920,3110,3050,5150,5200,5310,5490
MEDN494,1920000,2020000,2070000,2220000,3380000,3440000,3550000,3360000
MEDN496,126000,180000,146000,167000,289000,273000,240000,276000
MEDN498,63500,99100,97100,131000,331000,364000,431000,342000
MEDN499,44600,161000,89000,133000,769000,729000,648000,710000
MEDN502,124000,216000,169000,214000,237000,227000,206000,223000
MEDN506,260000,391000,316000,372000,639000,636000,631000,657000
MEDN507,5040,8520,6240,7430,5320,4720,3510,4800
MEDN530,71900,95600,93700,115000,253000,264000,286000,286000
MEDN533,500000,712000,646000,792000,8090000,7370000,5930000,7900000
MEDN535,10500,14200,11800,13100,93100,100000,114000,96100
MEDN537,149000,110000,117000,84200,834000,603000,141000,778000
MEDN538,144000,137000,152000,161000,304000,203000,9,253000
MEDN541,32600,28500,29500,26400,30300,29700,28600,28900
MEDN543,74700,100000,102000,128000,240000,250000,271000,256000
MEDN553,2330000,2870000,2460000,2600000,6130000,5880000,5390000,6320000
MEDN554,213000,246000,223000,232000,217000,217000,217000,234000
MEDN555,127000,146000,141000,156000,490000,480000,460000,493000
MEDN563,68800,52600,108000,147000,102000,94400,79100,66600
MEDN565,91100000,100000000,97300000,104000000,146000000,148000000,152000000,141000000
MEDN572,382000,442000,417000,452000,723000,691000,626000,675000
MEDN574,15100,20800,21400,27600,25300,20800,11700,18900
MEDN579,25000,27300,34200,43400,40000,36800,30300,39800
MEDN580,1300000,2900000,2020000,2750000,13200000,13900000,15300000,14500000
MEDN588,579000,633000,680000,782000,3770000,4990000,7420000,4580000
MEDN593,42900,17600,41200,39500,226000,204000,160000,202000
MEDN594,9,9,9,9,9,9,9,9
MEDN596,1280000,3090000,2060000,2840000,12900000,13500000,14800000,12900000
MEDN602,367000,567000,801000,1230000,1160000,1220000,1330000,9
MEDN604,12500,9340,11400,10400,11500,11200,10700,10400
MEDN605,534000,514000,511000,489000,521000,477000,389000,589000
MEDN607,226000,228000,238000,250000,211000,205000,193000,219000
MEDN611,115000,137000,151000,187000,267000,259000,242000,255000
MEDN615,1750000,1640000,1790000,1830000,7280000,6950000,6310000,6960000
MEDN616,48000,41500,47400,46900,39400,39800,40600,31100
MEDN617,36700,36900,27500,18300,16600,21300,30700,22500
MEDN622,81600,72500,106000,130000,99500,97100,92200,117000
MEDN644,189000,303000,272000,355000,961000,982000,1020000,864000
MEDN651,917000,660000,747000,576000,632000,540000,357000,596000
MEDN654,15000,14700,15100,15200,9870,10400,11500,10300
MEDN657,189000,376000,278000,367000,956000,1020000,1160000,959000
MEDN658,82000,74200,79400,76800,89900,87100,81600,88000
MEDN659,362000,497000,403000,444000,492000,462000,401000,430000
MEDN661,17500,18800,17100,16800,15700,15300,14400,17600
MEDN662,91100,101000,106000,122000,526000,503000,458000,495000
MEDN667,4040000,3860000,4060000,4080000,5510000,7020000,10100000,6610000
MEDN668,1330000,1470000,1380000,1420000,1710000,2740000,4790000,2170000
MEDN673,80100,97800,85800,91500,107000,106000,105000,102000
MEDN675,29500,36500,31700,33900,38700,38000,36500,36800
MEDN678,148000,179000,232000,316000,213000,201000,177000,227000
MEDN681,124000000,129000000,125000000,126000000,106000000,108000000,113000000,108000000
MEDN682,20300,18500,20000,19700,19600,19200,18300,19000
MEDN686,326000,313000,313000,300000,390000,353000,279000,117000
MEDN689,985000,954000,863000,741000,956000,1020000,1150000,1000000
MEDN693,93900,84300,95400,96900,124000,123000,120000,124000
MEDN694,417000,421000,395000,373000,342000,346000,354000,360000
MEDN720,9,9,2460,4910,8500,8160,7480,7300
MEDN724,952000,1700000,1420000,1890000,2420000,2150000,1610000,2230000
MEDN725,105000,105000,122000,139000,158000,154000,147000,154000
MEDN726,981000,921000,867000,752000,858000,949000,1130000,961000
MEDN727,436000,465000,471000,505000,499000,490000,471000,501000
MEDN728,25300,23600,25200,25100,23000,23000,23100,23800
MEDN730,128000,133000,145000,163000,209000,182000,128000,64600
MEDN731,1980000,2050000,2040000,2100000,2180000,2160000,2130000,2200000
MEDN732,69200,73300,71200,73300,84400,83900,82900,85100
MEDN733,652000,681000,664000,675000,748000,747000,745000,760000
MEDN734,128000000,137000000,130000000,131000000,109000000,111000000,116000000,110000000
MEDN736,181000,282000,203000,224000,179000,206000,259000,247000
MEDN738,1020000,911000,912000,803000,975000,1010000,1070000,983000
MEDN743,127000000,135000000,127000000,128000000,108000000,111000000,117000000,109000000
MEDN744,1230000,1140000,1090000,948000,863000,915000,1020000,851000
MEDN745,20300,20500,21700,23100,20000,19700,19000,20800
MEDN747,195000,196000,199000,203000,212000,207000,197000,210000
MEDN748,104000,100000,107000,110000,108000,109000,113000,103000
MEDN751,9,9,9,9,41800,42700,44400,49300
MEDN752,4380,6520,5320,6260,17400,18000,19300,18500
MEDN756,14700,20800,16300,18000,46100,45400,44000,46100
MEDN758,9,9,9,9,9220,10500,13000,11200
MEDN759,9,9,9,9,10300,11900,15200,13000
MEDN760,8000,11700,9920,11800,111000,127000,159000,138000
MEDN763,5440,9620,6940,8440,20800,21600,23300,24100
MEDN764,706000,1090000,833000,960000,2090000,2180000,2340000,2360000
MEDN765,687000,1080000,809000,930000,2040000,2140000,2340000,2290000
MEDN768,29400,27300,31100,32900,18100,16500,13400,18700
MEDN771,14200,12600,15000,15700,11300,11500,11900,12400
MEDN776,9,9,1760,3500,8380,8630,9110,9860
MEDN779,3970,5980,4840,5720,39700,47400,63000,50700
MEDN781,853000,1340000,1020000,1180000,1850000,1750000,1540000,1920000
MEDN783,6470,4620,7360,8260,5100,6040,7910,5000
MEDN784,11900,9190,11500,11100,5550,4960,3760,5660
MEDN789,5380,9000,6410,7450,22800,22500,21700,23300
MEDN791,127000,166000,141000,155000,349000,349000,351000,336000
MEDN792,454000,590000,496000,537000,1290000,1280000,1270000,1330000
MEDN793,803000,1250000,985000,1170000,3830000,3730000,3530000,3900000
MEDN794,5890,6940,6170,6450,7750,7600,7310,7550
MEDN795,15200,24900,16200,17100,33400,31800,28400,32400
MEDN797,55300,86900,70600,85800,267000,257000,237000,275000
MEDN808,2380000,2240000,2400000,2420000,6380000,6330000,6240000,6490000
MEDN813,19000,28600,18900,18900,26100,23600,18600,28200
MEDN818,109000,146000,119000,130000,288000,290000,295000,244000
MEDN821,2320000,2580000,2340000,2370000,6080000,6070000,6060000,6270000
MEDN823,100000,73900,97900,95900,138000,147000,164000,121000
MEDN827,543000,1020000,620000,697000,1210000,1180000,1120000,1190000
MEDN835,9,4940,2700,5400,24500,22900,19800,24700
MEDN841,7570,5660,9130,10700,16600,16500,16300,17400
MEDN843,56800,42600,52100,47400,77900,74000,66100,69200
MEDN844,298000,373000,300000,302000,189000,195000,208000,183000
MEDN846,9040,9140,8800,8560,10200,10600,11300,8920
MEDN854,278000,221000,221000,164000,211000,225000,253000,208000
MEDN859,54100,50900,50400,46700,42700,43900,46300,43500
MEDP006,108000,68500,101000,93200,135000,125000,104000,96900
MEDP009,30800000,39100000,35800000,40800000,69600000,67400000,62900000,64600000
MEDP010,4730000,5320000,5180000,5630000,8400000,8310000,8130000,8550000
MEDP011,8610000,11600000,9950000,11300000,18100000,17800000,17200000,17700000
MEDP013,1500000,1060000,1360000,1210000,2460000,2250000,1820000,2190000
MEDP014,1930000,1460000,1900000,1870000,2290000,2310000,2360000,1870000
MEDP015,93500,86900,99900,106000,107000,111000,120000,74300
MEDP017,459000,610000,456000,454000,477000,689000,1110000,419000
MEDP018,69600000,87000000,79700000,89800000,128000000,125000000,119000000,130000000
MEDP019,67000000,80400000,74900000,82800000,121000000,118000000,111000000,124000000
MEDP020,4670000,6720000,5680000,6690000,10900000,10400000,9400000,9770000
MEDP023,651000,638000,695000,740000,1190000,1140000,1040000,1020000
MEDP025,15200000,18900000,17600000,20100000,33400000,31800000,28600000,31000000
MEDP026,50500000,61900000,57500000,64500000,77600000,77700000,77800000,71700000
