Index	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8
MADN0001	2100000	1230000	1430000	1580000	1780000	1570000	1870000	1430000	987000	3090000	1620000	1790000	1170000	1170000	1030000	1730000	1110000	851000	1070000	961000	898000	1400000	1320000	2220000
MADN0003	60200000	28600000	51900000	30700000	33300000	46200000	46000000	46000000	43800000	48700000	55000000	54200000	42400000	36100000	41200000	41800000	43500000	49000000	40000000	34500000	35900000	36300000	38100000	49200000
MADN0008	8940000	6580000	8040000	4050000	8100000	10600000	5770000	9130000	8710000	12000000	10500000	10400000	6370000	6150000	6930000	9390000	6150000	5740000	6080000	5010000	11100000	4240000	5950000	10600000
MADN0010	17700000	1500000	5770000	8540000	3120000	1590000	825000	10400000	8320000	6130000	26100000	12500000	1680000	2790000	1340000	2140000	2480000	1100000	3210000	11600000	25200000	2370000	10400000	8350000
MADN0011	28900000	21900000	19300000	21100000	23300000	26000000	25800000	18900000	20400000	34100000	23500000	22500000	12600000	10700000	10600000	12700000	12200000	12200000	10500000	8580000	10200000	10100000	13300000	13700000
MADN0013	464000	342000	266000	274000	319000	503000	565000	415000	395000	577000	717000	525000	284000	370000	366000	325000	403000	421000	431000	197000	373000	219000	265000	581000
MADN0016	139000	167000	153000	107000	192000	107000	127000	80400	105000	162000	152000	146000	143000	132000	97200	164000	93600	193000	197000	113000	76400	85100	35600	138000
MADN0021	27900000	18100000	19000000	20300000	18400000	20300000	25000000	17800000	15900000	26600000	23200000	27300000	10600000	10500000	12000000	12600000	10700000	10100000	11800000	8260000	11500000	11800000	12400000	13200000
MADN0024	2420000	1940000	1790000	1610000	2440000	2450000	15200000	9690000	13600000	14500000	11700000	12700000	639000	538000	620000	469000	483000	517000	1020000	484000	794000	748000	603000	738000
MADN0029	1090000	352000	213000	166000	254000	761000	839000	841000	289000	511000	825000	742000	839000	804000	1750000	639000	1700000	941000	1390000	518000	2470000	288000	666000	1610000
MADN0031	904000	899000	756000	1020000	604000	4800000	1380000	1940000	791000	1560000	2290000	1210000	839000	1920000	4550000	2090000	4200000	3380000	2660000	775000	1760000	874000	1650000	2330000
MADN0033	263000	103000	50900	43100	102000	137000	189000	129000	119000	75100	143000	183000	228000	159000	317000	125000	367000	171000	283000	213000	650000	175000	293000	352000
MADN0034	119000000	134000000	167000000	122000000	205000000	227000000	180000000	150000000	124000000	217000000	154000000	149000000	213000000	159000000	188000000	224000000	188000000	191000000	180000000	175000000	207000000	213000000	158000000	253000000
MADN0035	6360000	6500000	4910000	5630000	7070000	6530000	7420000	7320000	7180000	4700000	6910000	5560000	5850000	6370000	6570000	6250000	6230000	6720000	6810000	6440000	6750000	6100000	6330000	5590000
MADN0037	8340000	7390000	7860000	7850000	7620000	9480000	12300000	8600000	7660000	10900000	11300000	8990000	10700000	10600000	7780000	10500000	11800000	14200000	14800000	16100000	13700000	12800000	11800000	11000000
MADN0040	307000000	374000000	446000000	353000000	368000000	299000000	236000000	252000000	248000000	390000000	191000000	313000000	111000000	95200000	108000000	114000000	98900000	124000000	77700000	48100000	60700000	56800000	60200000	88900000
MADN0041	402000	24900	174000	179000	470000	582000	405000	644000	272000	732000	374000	411000	402000	250000	401000	468000	563000	544000	440000	234000	399000	279000	376000	901000
MADN0043	2770000	3660000	3270000	2640000	4420000	6000000	3090000	2770000	3250000	5630000	3800000	4200000	2190000	2810000	3720000	3620000	3120000	4200000	3610000	1990000	3780000	2150000	2590000	5880000
MADN0054	778000	739000	1110000	430000	1300000	3080000	1990000	909000	2360000	2470000	1710000	2400000	4450000	7150000	9320000	5190000	4810000	7010000	7150000	2910000	7770000	5590000	3760000	11000000
