,A1,A2,A3,B1,B2,B3
Mi19g02860.1,352,325,362,585,456,436
Mi19g02870.1,2,3,0,6,3,0
Mi19g02880.1,143,142,155,187,96,122
Mi19g02890.1,0,1,0,0,0,0
Mi19g02920.1,89,89,77,53,56,38
Mi19g02940.1,2,0,3,1,5,1
Mi19g02980.1,0,1,0,0,0,0
Mi19g03000.1,1,0,2,0,1,4
Mi19g03010.1,28,10,30,9,2,9
Mi19g03020.1,233,162,170,202,127,144
Mi19g03030.1,1,9,10,2,6,0
Mi19g03040.1,0,0,0,0,0,1
Mi19g03050.1,6,6,3,2,1,3
Mi19g03090.1,268,244,308,303,159,183
Mi19g03100.1,2,0,0,0,0,0
Mi19g03110.1,363,357,318,214,185,177
Mi19g03120.1,22,26,30,34,41,29
Mi19g03130.1,361,331,332,266,207,168
Mi19g03140.1,17,2,9,1,3,10
Mi19g03150.1,89,72,97,80,109,56
Mi19g03170.1,2,0,5,0,3,2
Mi19g03180.1,35,21,32,27,29,19
Mi19g03190.1,21,26,17,15,16,12
Mi19g03210.1,1,0,0,0,0,0
Mi19g03230.1,197,190,201,308,237,265
Mi19g03240.1,347,281,356,257,165,200
Mi19g03250.1,18,34,5,22,14,12
Mi19g03260.1,200,187,255,66,43,49
Mi19g03280.1,472,450,472,948,436,772
Mi19g03290.1,14,27,12,17,3,17
Mi19g03300.1,222,228,229,171,129,102
Mi19g03310.1,142,140,118,149,98,71
Mi19g03330.1,214,232,175,142,101,99
Mi19g03340.1,0,1,0,0,0,0
Mi19g03350.1,300,278,267,330,230,292
Mi19g03360.1,77,73,79,150,86,64
Mi19g03370.1,1006,748,829,1158,772,786
Mi19g03410.1,1,0,6,0,0,0
Mi19g03450.1,122,97,136,109,77,99
Mi19g03460.1,76,68,109,91,81,73
Mi19g03470.1,1638,1354,1535,1356,1073,1068
Mi19g03490.1,251,266,234,265,192,243
Mi19g03500.1,41,28,36,52,42,40
Mi19g03510.1,249,213,224,307,202,162
Mi19g03520.1,10,11,9,30,37,15
Mi19g03530.1,136,132,134,110,75,73
Mi19g03540.1,937,790,892,1022,926,846
Mi19g03570.1,1818,1767,1826,2299,1835,1713
Mi19g03580.1,0,0,0,0,2,0
Mi19g03590.1,13,24,7,24,10,23
Mi19g03600.1,929,727,785,1169,804,872
Mi19g03620.1,1267,1086,1154,2038,1679,1614
Mi19g03630.1,2,1,0,5,3,3
Mi19g03660.1,3622,3277,3747,3084,2438,2574
Mi19g03670.1,11,27,13,38,28,25
Mi19g03680.1,141,115,144,141,112,97
Mi19g03690.1,669,605,665,741,562,597
Mi19g03700.1,19,14,24,5,4,5
Mi19g03710.1,330,261,307,380,249,282
Mi19g03720.1,469,442,523,529,455,399
Mi19g03730.1,413,417,381,748,349,514
Mi19g03750.1,41,45,44,42,23,26
Mi19g03760.1,489,448,544,305,241,235
Mi19g03780.1,2749,2747,2994,1549,1220,1086
Mi19g03800.1,0,0,1,0,3,1
Mi19g03810.1,0,0,0,0,5,0
Mi19g03850.1,0,3,1,0,1,0
Mi19g03860.1,409,384,471,243,212,159
Mi19g03880.1,544,550,635,775,454,586
Mi19g03890.1,107,84,102,89,77,97
Mi19g04000.1,360,292,274,382,253,278
Mi19g04010.1,142,127,133,375,238,249
Mi19g04020.1,104,99,135,140,74,67
Mi19g04050.1,232,196,202,402,261,351
Mi19g04060.1,437,394,338,1245,679,719
Mi19g04120.1,0,0,0,0,0,1
Mi19g04130.1,6,7,8,4,8,8
Mi19g04360.1,59,45,34,34,19,41
Mi19g04370.1,223,219,198,247,166,194
Mi19g04390.1,2566,2179,2434,2198,1534,1447
Mi19g04400.1,103,102,121,146,79,115
Mi19g04430.1,2078,1776,1951,1970,1610,1433
Mi19g04440.1,23,18,43,19,12,15
Mi19g04450.1,0,0,0,0,0,1
Mi19g04470.1,1603,1534,1720,1387,1195,1167
Mi19g04480.1,1401,1237,1226,1677,1262,1308
Mi19g04500.1,588,464,447,391,316,321
Mi19g04510.1,0,0,0,0,1,0
Mi19g04570.1,1005,925,914,1681,1156,1227
Mi19g04590.1,1031,945,847,857,544,521
Mi19g04600.1,1956,1793,1879,1839,1432,1274
Mi19g04640.1,939,980,926,1421,1013,1093
Mi19g04650.1,3,2,3,0,0,0
Mi19g04660.1,253,235,235,277,153,229
Mi19g04670.1,237,226,211,276,204,238
Mi19g04680.1,149,130,181,177,113,102
Mi19g04690.1,17,14,20,2,4,5
Mi19g04700.1,553,538,569,534,464,426
Mi19g04740.1,0,0,2,0,0,0
Mi19g04750.1,4983,3915,3973,3302,1611,2641
Mi19g04770.1,2,0,0,0,0,1
Mi19g04780.1,2958,2714,2638,2918,2203,1976
Mi19g04790.1,4547,4212,4378,5099,3390,3526
Mi19g04850.1,474,418,466,626,469,469
Mi19g04860.1,1,0,0,0,0,1
Mi19g04870.1,2416,2203,2278,3045,2473,2371
Mi19g04880.1,119,151,165,110,75,97
Mi19g04890.1,581,564,527,665,541,495
Mi19g04910.1,346,305,360,381,264,278
Mi19g04920.1,961,958,1006,1257,877,965
Mi19g04930.1,2,2,3,9,1,0
Mi19g04940.1,148,128,143,140,82,73
Mi19g04950.1,22,16,28,15,2,9
Mi19g04980.1,492,525,444,634,393,410
Mi19g05000.1,19,11,19,14,15,11
Mi19g05010.1,1,4,4,3,3,1
Mi19g05020.1,1534,1278,1505,1498,996,1078
Mi19g05030.1,181,235,230,102,68,59
Mi19g05050.1,346,360,343,405,257,302
Mi19g05060.1,97,96,75,127,76,71
Mi19g05070.1,231,251,257,358,286,282
Mi19g05080.1,536,515,500,574,326,384
Mi19g05090.1,1,0,0,0,0,0
Mi19g05100.1,183,162,114,134,117,103
Mi19g05110.1,2870,2804,2916,636,528,495
Mi19g05120.1,54,68,53,24,13,34
Mi19g05130.1,0,0,0,0,0,2
Mi19g05140.1,1050,969,1055,878,683,636
Mi19g05150.1,243,249,245,300,205,226
Mi19g05160.1,3,7,2,2,0,2
Mi19g05170.1,10,27,22,7,7,11
Mi19g05180.1,1851,1695,1880,2392,1681,1629
Mi19g05190.1,338,411,383,711,489,574
Mi19g05200.1,25,29,20,21,8,18
Mi19g05220.1,222,209,247,270,162,174
Mi19g05230.1,6,2,5,3,2,2
Mi19g05250.1,219,216,221,193,182,139
Mi19g05260.1,276,251,203,471,385,383
Mi19g05280.1,121,106,94,124,62,73
Mi19g05300.1,2,2,0,1,0,0
Mi19g05310.1,1,3,1,0,2,0
Mi19g05320.1,390,306,307,413,281,277
Mi19g05330.1,1322,1306,1444,1637,1081,1189
Mi19g05340.1,646,677,577,805,542,576
Mi19g05350.1,520,571,509,787,518,580
Mi19g05380.1,1458,1318,1304,1527,1103,1036
Mi19g05400.1,1534,1357,1531,709,669,575
Mi19g05410.1,1075,938,1089,941,789,659
Mi19g05420.1,4,5,4,5,4,2
Mi19g05430.1,1,3,10,3,2,3
Mi19g05440.1,551,598,575,422,389,358
Mi19g05450.1,5585,4732,4798,4154,2894,3088
Mi19g05470.1,10005,8542,8551,10022,6335,7186
Mi19g05480.1,1637,1593,1696,1971,1641,1537
Mi19g05500.1,749,793,779,957,742,642
Mi19g05510.1,3387,3622,3410,4905,3429,3642
Mi19g05530.1,977,842,901,1188,936,899
Mi19g05580.1,156,217,193,140,97,145
Mi19g05590.1,427,365,307,345,261,240
Mi19g05620.1,649,596,580,792,595,525
Mi19g05640.1,121,142,128,177,186,129
Mi19g05670.1,161,144,137,67,31,43
Mi19g05680.1,374,433,388,848,536,623
Mi19g05690.1,436,429,406,469,332,342
Mi19g05700.1,452,523,502,538,325,353
Mi19g05710.1,691,660,647,973,663,529
Mi19g05720.1,2044,1901,1915,2946,2457,2350
Mi19g05730.1,1167,1090,1057,888,578,651
Mi19g05740.1,1036,974,1174,1009,809,770
Mi19g05750.1,2343,2207,2157,2245,1646,1646
Mi19g05760.1,74,65,67,75,19,44
Mi19g05770.1,4,2,2,5,5,3
Mi19g05780.1,12,20,15,21,3,14
Mi19g05790.1,474,452,466,389,273,273
Mi19g05800.1,739,638,651,866,573,640
Mi19g05810.1,755,553,562,1155,791,849
Mi19g05820.1,296,313,332,245,190,174
Mi19g05830.1,385,323,295,389,231,326
Mi19g05840.1,352,373,353,420,323,268
Mi19g05860.1,10,6,5,9,1,3
Mi19g05880.1,0,1,2,0,0,0
Mi19g05900.1,1,0,0,3,1,0
Mi19g05910.1,170,108,145,112,95,109
Mi19g05920.1,20,5,18,15,5,26
Mi19g05930.1,53,25,62,50,36,28
Mi19g05940.1,15,11,12,34,8,16
Mi19g05950.1,251,150,194,197,155,166
Mi19g05960.1,315,272,389,226,195,231
Mi19g05970.1,1224,1145,1395,1036,720,938
Mi19g05980.1,488,453,591,421,326,339
Mi19g05990.1,344,315,398,292,215,273
Mi19g06010.1,20,22,24,22,21,10
Mi19g06020.1,840,818,794,600,488,496
Mi19g06030.1,483,520,618,701,640,607
Mi19g06050.1,335,321,335,810,545,621
Mi19g06060.1,147,152,116,46,21,40
Mi19g06070.1,51,60,85,28,21,23
Mi19g06090.1,1278,1198,1183,1456,1161,1087
Mi19g06100.1,0,0,0,2,0,0
Mi19g06110.1,529,523,421,597,376,397
Mi19g06120.1,1407,1342,1505,641,488,453
Mi19g06140.1,10040,9365,9461,8569,6193,6799
Mi19g06150.1,73,67,75,83,38,67
Mi19g06160.1,662,565,584,630,468,467
Mi19g06170.1,859,765,915,1337,1059,1034
Mi19g06180.1,252,289,268,365,267,293
Mi19g06190.1,476,410,499,988,792,708
Mi19g06200.1,919,838,979,936,770,742
Mi19g06210.1,24,36,42,43,13,27
Mi19g06220.1,70,55,53,71,15,49
Mi19g06230.1,16,14,10,8,12,1
Mi19g06240.1,9,16,15,1,5,1
Mi19g06290.1,705,537,501,958,583,650
Mi19g06310.1,2297,2200,2369,2161,1326,1478
Mi19g06320.1,821,800,838,1092,925,799
Mi19g06330.1,3,2,0,0,0,0
Mi19g06340.1,16,14,10,21,18,6
Mi19g06350.1,1422,1254,1426,1659,1152,1108
Mi19g06360.1,833,704,585,1149,817,766
Mi19g06370.1,1293,1172,1166,1483,1112,952
Mi19g06380.1,356,315,294,121,124,119
Mi19g06400.1,0,0,2,6,5,1
Mi19g06420.1,2283,2335,2434,1824,1372,1171
Mi19g06430.1,0,0,1,0,0,0
Mi19g06450.1,5,9,1,3,1,0
Mi19g06480.1,76,93,66,66,47,65
Mi19g06490.1,118,108,95,189,151,95
Mi19g06500.1,194,166,182,196,126,175
Mi19g06510.1,100,92,98,114,101,109
Mi19g06520.1,62,47,52,185,112,106
Mi19g06530.1,16,16,28,23,17,33
Mi19g06540.1,118,103,137,253,141,130
Mi19g06550.1,479,407,400,847,706,616
Mi19g06560.1,212,125,157,239,134,143
Mi19g06570.1,471,488,475,687,496,528
Mi19g06580.1,247,215,218,385,243,317
Mi19g06590.1,32,31,36,61,22,28
Mi19g06600.1,8,5,6,9,2,0
Mi19g06610.1,608,627,779,62,24,63
Mi19g06620.1,65,50,52,31,37,24
Mi19g06630.1,7,5,9,3,0,3
Mi19g06640.1,593,580,666,578,425,444
Mi19g06650.1,431,354,410,419,248,294
Mi19g06660.1,19,3,8,0,0,0
Mi19g06670.1,188,112,116,166,99,131
Mi19g06680.1,1,1,0,0,0,6
Mi19g06690.1,18,20,15,11,7,8
Mi19g06700.1,70,51,41,52,19,17
Mi19g06720.1,1018,918,898,1543,1135,933
Mi19g06730.1,109,95,138,157,142,96
Mi19g06740.1,1460,1392,1481,1419,1217,1099
Mi19g06750.1,325,280,350,293,137,201
Mi19g06770.1,29,37,28,32,30,21
Mi19g06780.1,489,469,439,538,336,400
Mi19g06790.1,198,217,277,187,156,116
Mi19g06800.1,324,300,331,600,370,424
Mi19g06810.1,93,88,126,137,94,122
Mi19g06820.1,474,424,407,403,238,301
Mi19g06830.1,168,163,153,192,120,128
Mi19g06850.1,872,830,844,1261,916,953
Mi19g06860.1,203,214,211,153,110,92
Mi19g06870.1,145,102,160,126,59,107
