,A1,A2,A3,B1,B2,B3,C1,C2,C3
id1,2.13,2.13,2.67,1.54,2.48,1.32,2.39,2.99,3.11
id2,36.87,37.44,45.91,7.34,5.99,5.66,10.87,7.44,9.22
id3,14.38,9.47,14.55,11.38,10.47,14.26,13.12,13.67,12.42
id4,0.52,0.29,1.21,0.35,2.72,0.15,0.45,3.22,0
id5,0.22,0.49,0,0.69,1.03,0.13,0.13,0.12,0.27
id6,41.23,34.93,38.6,44.87,45.18,47.96,81.1,90.44,91.39
id7,0.16,0.01,0.11,0.06,0.06,0.01,0.19,0.13,0.05
id8,1.35,1.1,1.72,0.99,0.82,0.98,0.96,1.09,1.43
id9,0.25,0.27,0.73,0.15,0.48,0.31,0.28,0.44,0.3
id10,9.25,9.02,9.43,13.93,13.47,20.4,20.54,19.07,20.3
id11,5.56,5.69,5.7,3.9,4.34,4.89,5.26,4.96,4.6
id12,0.05,0,0.03,0,0,0.03,0.03,0,0
id13,18.41,16.78,18.91,17.45,19.54,16.57,31.5,35.02,33.16
id14,48.24,52.19,49.34,100.28,100.24,101.16,94.94,93.64,83.59
id15,71.18,62.59,67.02,11.53,10.97,12.26,16.12,24.24,17.71
id16,38.62,40.88,39.4,9.81,9.59,10.41,10.44,8.9,8.76
id17,606.59,674.03,545.39,147.53,169.24,138.27,133.25,124.62,161.14
id18,0.58,0.72,0.96,0.13,0.11,0.18,0.46,0.64,0.78
id19,0.05,0,0,0,0,0,0,0.05,0.06
id20,5.68,7.68,6.28,6.14,8.26,8.72,8.41,8.45,7.89
id21,3.41,1.17,0.74,0.49,0.37,0.51,0.52,0.62,1.72
id22,25.92,3.43,14.37,2.23,3.08,1.68,6.43,7.89,21.36
id23,579,583.25,603.4,718.63,695.69,760.34,699.95,688.38,576.67
id24,47.91,8.91,58.57,9.01,14.17,10.73,25.01,8.88,2.14
id25,0.19,0,0.04,0.07,0,0,0.22,0.12,0.05
id26,81.13,77.52,77.04,88.8,88.58,87.97,97.3,93.12,94.88
id27,9.47,13.06,12.95,15.04,15.52,15.2,15.03,14.33,13.34
id28,0,0.05,0,0,0,0,0,0,0
id29,12.58,15.21,13.33,14.19,12.47,16.11,17.02,13.83,15.6
id30,515.3,164.33,283.04,116.9,275.46,123.97,366.02,587.23,1134.99
id31,2.3,2.48,2.28,2.27,2.82,2.64,3.08,3.25,3.42
id32,0.24,0,0.07,0,0.24,0.03,0.07,0.16,0
id33,0.2,0,0.59,0,0,0,0,0.04,0
id34,0.26,0.25,0.36,0.16,0.19,0.12,0.19,0.22,0.34
id35,0,0.08,0,0,0,0,0,0,0
id36,0.08,0.15,0.11,0.21,0.18,0.02,0.16,0.5,0.28
id37,0,0,0,0,0,0.08,0,0,0
id38,0,0,0,0,0.05,0,0,0,0
id39,1.01,1.34,1.25,0.06,0.08,0.07,0.19,0.28,0.68
id40,6.64,3.82,0.88,1.78,1.12,0.31,0.55,6.65,6.4
id41,4.97,3.97,4.39,2.11,2.47,1.91,1.99,2.13,2.32
id42,23.67,24.59,29.58,31.5,32.68,30.83,40.4,44.98,60.11
id43,0,0,0,0,0,0,0,0.16,0
id44,0,0,0,0.01,0,0,0.03,0.05,0.12
id45,49.2,52.04,52.05,29.85,30.9,34.51,49.99,56.1,56.71
id46,12.95,14.33,14.42,11.37,9.69,11.78,13.95,12.28,11.02
id47,24.27,21.01,23.04,11.07,11.79,12.19,25.84,26.8,42.59
id48,0.44,0.37,0.13,0.02,0.23,0.13,0.13,0.02,0.03
id49,0.68,0.39,0.43,0.14,0.15,0.2,0.45,0.47,0.35
id50,57.18,41.74,53.83,7.16,7.18,7.83,12.08,16.46,12.3
id51,12.66,17.62,12.84,1.23,1.44,1.61,2.3,1.43,1.58
id52,0.08,0,0,0,0,0,0,0,0.07
id53,7.87,5.84,6.91,8.5,8.72,8.16,9.05,10.45,10.25
id54,0,0,0,0,0.07,0,0,0.1,0.04
id55,0.35,0.59,0.56,0.56,0.57,0.44,1.2,1.09,0.81
id56,0,0,0,0.05,0,0.44,0.17,0.29,0.63
id57,3.43,3.86,3.93,2.6,2.19,3.28,4.18,3.74,3.33
id58,0,0,0,0,0,0,0.02,0,0
id59,0,0,0.05,0,0,0,0,0,0
id60,0.23,0.19,0.36,0.37,0.38,0.22,0.24,0.08,0.4
id61,0.2,0.16,0.17,0.68,0.34,0.23,0.38,0.16,0.38
id62,1.2,1.34,1.63,2.01,2.15,2.67,1.44,1.29,1.41
id63,0.1,0.08,0.06,0.11,0.15,0.09,0.09,0.19,0.21
id64,0.97,0.67,0.87,1.81,3.4,2.39,2.77,1.94,2.21
id65,136.5,141.28,147.15,225.17,214.68,202.2,210.78,212.78,203.72
id66,0.21,0.35,0.25,0.09,0.12,0.12,0,0,0.26
id67,49.15,45.48,49.86,67.52,62.52,63.61,61.27,71.12,72.53
id68,1.81,1.39,1.46,0.07,0.14,0.07,1.12,0.8,1.04
id69,0.07,0,0,4.52,6.44,1.97,4.79,10.59,11.13
id70,0.95,1.46,1.9,0.53,0.74,0.51,0.68,0.88,0.39
id71,0,0,0,0,0.4,0.08,0.16,0.3,0
id72,0.21,0,0.08,0,0,0,0.16,0,0
id73,301.57,144.61,168.85,441.35,1120.76,652.45,2028.17,2558.77,3827.23
id74,142.23,161.01,136.24,118.28,106.26,108.72,75.39,65.94,64.09
id75,34.06,21.63,26.23,10.14,13.45,13.59,68.33,76.34,112.35
id76,0,0,0.16,2.85,2.42,1.18,2.39,5.45,6.2
id77,10,0.62,0.97,52.64,108.47,51.02,85.02,176.28,278.48
id78,5.72,5.57,3.76,3.94,4.36,3.76,5.59,2.45,3.97
id79,29.25,31.08,28.7,54.59,62.49,59.82,56.69,57.5,62.61
id80,0.17,0,0.1,0.48,1.5,0.52,1.63,1.75,1.99
id81,1.16,1.43,0.83,2.3,1.99,2.61,1.7,1.34,1.58
id82,6.87,9.42,8.72,10.02,11.31,11.68,7.25,5.87,7.37
id83,0.14,0.26,0.27,0.38,0.27,0.64,0.22,0.05,0.12
id84,1.05,0.61,1.08,0.64,0.67,0.57,0.63,0.51,0.44
id85,0.52,0.88,0.31,0.42,0.12,0.42,0.42,0.45,0.26
id86,2.52,0.57,1.91,1.27,1.31,1.28,2.39,1.91,1.68
id87,4.9,3.76,4.44,15.17,14.32,15.54,13.53,12.11,13.21
id88,0.36,0.59,0.62,0.97,1.39,1.77,0.77,1.26,0.72
id89,1.11,0.86,0.62,1.45,0.64,0.92,1.37,1.17,1.36
id90,0.05,0,0,0,0,0,0,0,0
id91,137.16,121.75,136.62,107.58,112.59,117.06,117.12,133.91,124.29
id92,0,0,0,0.23,0.08,0,0,0,0
id93,1.6,3.29,6.21,3.19,3.19,1.59,2.63,2.29,2.22
id94,10.82,8.06,8.9,3.96,5.01,5.68,2.21,2.23,2.07
id95,5.26,4.68,4.47,4.74,5.91,5.48,4,4.69,3.54
id96,0.44,0.64,0.83,0.33,0.56,0.39,0.37,0.37,0.54
id97,0,0,0,0.4,0,0.06,0.06,0.21,0.3
id98,0.78,0.38,9.47,0.82,15.4,1.35,0.43,8.73,17.88
id99,3.28,2.51,2.63,1.21,1.88,0.73,1.11,1.53,1.27
id100,0.36,1.09,0.42,0.6,0.6,0.88,0.77,0.83,1.77
id101,0.49,0.62,0.49,0.3,0.31,0.46,0.77,0.63,0.52
id102,59.16,61.86,58.2,69.93,67.66,74.15,93.59,85.49,77.54
id103,4.37,4.78,4.31,2.44,1.92,2.16,2.93,2.96,2.43
id104,16.18,15.28,15.9,46.58,49.97,48.6,49.45,55.27,47.7
id105,0.4,0.65,1.08,0.08,0.18,0.21,0.28,0.37,0.15
id106,14.61,14.24,15.16,1.76,1.97,1.73,2.66,1.63,2.18
id107,0,0.02,0,0.03,0,0,0,0.08,0
id108,23.01,7.91,8.18,69.65,29.2,78.95,70.33,30.87,52.88
id109,0.73,0.86,1.54,1.26,0.7,0.87,0.69,0.6,0.58
id110,3.83,4.59,3.66,4.84,4.57,4.75,5.73,5.79,6.72
id111,0,0.01,0,0,0,0.02,0,0.01,0
id112,0,0,0.08,0,0,0,0,0,0
id113,0,0,0,0,0,0,0,0,0.08
id114,0,0,0,0,0,0,0.04,0,0.08
id115,0.05,0.06,0,0.23,0.12,0.06,0.06,0.11,0.39
id116,0,0.75,0.1,0.61,0.49,0.67,0.1,0.09,0.31
id117,5.84,4.61,5.06,3.65,3.76,2.9,2.1,2.21,2.88
id118,0.06,0.07,0,3.88,2.93,3.21,2.03,2.37,1.77
