GO,Description,Pvalue,Adjusted_Pvalue,Count_all,Group
GO:0009992,cellular water homeostasis,0.007860119,0.178435349,4,A_vs_B
GO:0046244,salicylic acid catabolic process,0.007860119,0.178435349,4,A_vs_B
GO:1901600,strigolactone metabolic process,0.007860119,0.178435349,4,A_vs_B
GO:1901601,strigolactone biosynthetic process,0.007860119,0.178435349,4,A_vs_B
GO:0032103,positive regulation of response to external stimulus,0.007874535,0.178435349,27,A_vs_B
GO:1903047,mitotic cell cycle process,0.008032184,0.180150403,37,A_vs_B
GO:0032101,regulation of response to external stimulus,0.008173878,0.181476608,45,A_vs_B
GO:0006790,sulfur compound metabolic process,0.008536379,0.187629611,58,A_vs_B
GO:0010497,plasmodesmata-mediated intercellular transport,0.009129979,0.197862879,8,A_vs_B
GO:1900426,positive regulation of defense response to bacterium,0.00918199,0.197862879,17,A_vs_B
GO:0006812,cation transport,0.010068798,0.212883416,46,A_vs_B
GO:0002237,response to molecule of bacterial origin,0.010072737,0.212883416,17,A_vs_B
GO:0002252,immune effector process,0.010638489,0.220598099,7,A_vs_B
GO:0030574,collagen catabolic process,0.010638489,0.220598099,7,A_vs_B
GO:0006884,cell volume homeostasis,0.011508691,0.234223168,4,A_vs_B
GO:0051131,chaperone-mediated protein complex assembly,0.011508691,0.234223168,4,A_vs_B
GO:0009736,cytokinin-activated signaling pathway,0.011825415,0.238461129,15,A_vs_B
GO:0031347,regulation of defense response,0.012183057,0.238583916,57,A_vs_B
GO:0016051,carbohydrate biosynthetic process,0.012230548,0.238583916,58,A_vs_B
GO:0097237,cellular response to toxic substance,0.01230146,0.238583916,9,A_vs_B
GO:0009863,salicylic acid mediated signaling pathway,0.012410319,0.238583916,21,A_vs_B
GO:0002682,regulation of immune system process,0.012637556,0.238583916,25,A_vs_B
GO:0050776,regulation of immune response,0.012637556,0.238583916,25,A_vs_B
GO:0010196,nonphotochemical quenching,0.012699872,0.238583916,5,A_vs_B
GO:1990066,energy quenching,0.012699872,0.238583916,5,A_vs_B
GO:0009809,lignin biosynthetic process,0.013023905,0.242597821,15,A_vs_B
GO:0009735,response to cytokinin,0.013626688,0.249995657,18,A_vs_B
GO:0009835,fruit ripening,0.01375875,0.249995657,12,A_vs_B
GO:0071456,cellular response to hypoxia,0.013762272,0.249995657,29,A_vs_B
GO:0043650,dicarboxylic acid biosynthetic process,0.014219259,0.256179768,9,A_vs_B
GO:0000070,strigolactone biosynthetic process,0.000843892,0.042091291,26,B_vs_C
GO:0071669,positive regulation of response to external stimulus,0.000867375,0.042146812,84,B_vs_C
GO:0010817,regulation of hormone levels,0.000879496,0.042146812,80,B_vs_C
